year,1.5K_M,2K_M,2.5K_M,3.5K_M,4.5K_M,5.5K_M,6.5K_M
11-15,9390,10600,13280,15900,17420,18730,17793
16-20,7280,8630,9880,12150,14750,16500,17930
21-25,6820,8320,9770,12050,14680,16460,17970
26-30,6920,8520,9850,12920,15630,17700,19210
31-35,7060,8900,10270,13040,15680,17690,19280
36-40,7330,9200,10780,13070,15720,17850,19270
41-45,7780,9710,11550,13800,16550,18290,19860
46-50,8540,10530,12470,15620,18860,21060,22660
51-55,10890,13860,16800,21580,26530,29750,32010
56-60,15270,18830,21820,31900,38650,44240,48190
61-65,22410,26510,29820,44080,50890,61730,67360
66-70,31530,37560,42550,62140,77250,88020,96040
71-75,47040,55280,62490,85460,106810,121700,132630
76-80,67730,79600,89980,123060,153800,175250,190980
81-85,94820,111430,125970,172280,215320,245340,267370
86-90,104300,122570,138570,189510,236850,269870,294110
91-95,114730,134830,152430,208460,260540,296860,323520
96-98,126200,148310,167670,229310,286590,326550,355870
