year,1M_M,1M_F,5M_M,5M_F,15M_M,15M_F,25M_M,25M_F
11 15,16400,14400,20200,18200,25500,21600,33400,27900
16 20,13500,15200,16500,19100,20100,23100,26200,30300
21 25,13700,17200,16900,21500,21600,27000,28000,35300
26 30,14700,17500,18300,21800,26100,30600,33800,38000
31 35,15100,18400,18900,22700,29400,34200,37800,42300
36 40,17000,20400,20800,25100,31800,37200,40900,46000
41 45,19200,22300,23800,27800,36000,42900,47300,53600
46 50,21600,24500,26700,30400,40200,46500,52400,60700
51 55,28300,28500,35000,35200,50100,50700,65300,65500
56 59,34100,34400,42300,42500,63900,65100,83000,84600
60 65,40900,41500,50600,50800,72300,73500,94100,95700
66 70,59400,60800,72100,74000,105000,107100,136700,139300
71 75,85400,88200,104000,107500,152100,155700,197800,202000
76 80,122900,126300,150000,154400,219900,224700,286300,291800
81 85,177800,182700,217100,223400,318300,325500,414700,422700
86 90,204500,210100,249700,256900,366000,374400,476900,486100
91 95,235200,241600,287200,295400,420900,430500,548400,559000
96 98,270500,277800,330300,339700,484200,495000,630700,642900
