year,Class,F
11-15,1.5K,7690.0
11-15,2.5K,11620.0
11-15,2K,9810.0
11-15,3.5K,15410.0
11-15,4.5K,18380.0
11-15,5.5K,20120.0
11-15,6.5K,21600.0
16-20,1.5K,7370.0
16-20,2.5K,11170.0
16-20,2K,9690.0
16-20,3.5K,15190.0
16-20,4.5K,18380.0
16-20,5.5K,19950.0
16-20,6.5K,21550.0
21-25,1.5K,8510.0
21-25,2.5K,12620.0
21-25,2K,10550.0
21-25,3.5K,16390.0
21-25,4.5K,20120.0
21-25,5.5K,22260.0
21-25,6.5K,24050.0
26-30,1.5K,9050.0
26-30,2.5K,12030.0
26-30,2K,11300.0
26-30,3.5K,17040.0
26-30,4.5K,20730.0
26-30,5.5K,23740.0
26-30,6.5K,19690.0
31-35,1.5K,9170.0
31-35,2.5K,13030.0
31-35,2K,11330.0
31-35,3.5K,17330.0
31-35,4.5K,21030.0
31-35,5.5K,23550.0
31-35,6.5K,25080.0
36-40,1.5K,9420.0
36-40,2.5K,14070.0
36-40,2K,11800.0
36-40,3.5K,19700.0
36-40,4.5K,21500.0
36-40,5.5K,23820.0
36-40,6.5K,25510.0
41-45,1.5K,10050.0
41-45,2.5K,15070.0
41-45,2K,12610.0
41-45,3.5K,19730.0
41-45,4.5K,21250.0
41-45,5.5K,25720.0
41-45,6.5K,27580.0
46-50,1.5K,11080.0
46-50,2.5K,16380.0
46-50,2K,13760.0
46-50,3.5K,22380.0
46-50,4.5K,27130.0
46-50,5.5K,30190.0
46-50,6.5K,32400.0
51-55,1.5K,13790.0
51-55,2.5K,20160.0
51-55,2K,16730.0
51-55,3.5K,26320.0
51-55,4.5K,32920.0
51-55,5.5K,36760.0
51-55,6.5K,39370.0
56-60,1.5K,17970.0
56-60,2.5K,25290.0
56-60,2K,21880.0
56-60,3.5K,34000.0
56-60,4.5K,42170.0
56-60,5.5K,48060.0
56-60,6.5K,51040.0
61-65,1.5K,23990.0
61-65,2.5K,34930.0
61-65,2K,28810.0
61-65,3.5K,46670.0
61-65,4.5K,57150.0
61-65,5.5K,65060.0
61-65,6.5K,71340.0
66-70,1.5K,33060.0
66-70,2.5K,45860.0
66-70,2K,39360.0
66-70,3.5K,62780.0
66-70,4.5K,77880.0
66-70,5.5K,88060.0
66-70,6.5K,96180.0
71-75,1.5K,47540.0
71-75,2.5K,64620.0
71-75,2K,56580.0
71-75,3.5K,86810.0
71-75,4.5K,108830.0
71-75,5.5K,123660.0
71-75,6.5K,134860.0
76-80,1.5K,68460.0
76-80,2.5K,93050.0
76-80,2K,81480.0
76-80,3.5K,120510.0
76-80,4.5K,156720.0
76-80,5.5K,178070.0
76-80,6.5K,194200.0
81-85,1.5K,95840.0
81-85,2.5K,130270.0
81-85,2K,114060.0
81-85,3.5K,175010.0
81-85,4.5K,219400.0
81-85,5.5K,249300.0
81-85,6.5K,271880.0
86-90,1.5K,106420.0
86-90,2.5K,143300.0
86-90,2K,126470.0
86-90,3.5K,192510.0
86-90,4.5K,241340.0
86-90,5.5K,274230.0
86-90,6.5K,299070.0
91-95,1.5K,115960.0
91-95,2.5K,157630.0
91-95,2K,138080.0
91-95,3.5K,211760.0
91-95,4.5K,265470.0
91-95,5.5K,301650.0
91-95,6.5K,328980.0
96-98,1.5K,127560.0
96-98,2.5K,173390.0
96-98,2K,151820.0
96-98,3.5K,232940.0
96-98,4.5K,292020.0
96-98,5.5K,331820.0
96-98,6.5K,361880.0
