year,Class,M
11-15,1.5K,9390.0
11-15,2.5K,13280.0
11-15,2K,10600.0
11-15,3.5K,15900.0
11-15,4.5K,17420.0
11-15,5.5K,18730.0
11-15,6.5K,17793.0
16-20,1.5K,7280.0
16-20,2.5K,9880.0
16-20,2K,8630.0
16-20,3.5K,12150.0
16-20,4.5K,14750.0
16-20,5.5K,16500.0
16-20,6.5K,17930.0
21-25,1.5K,6820.0
21-25,2.5K,9770.0
21-25,2K,8320.0
21-25,3.5K,12050.0
21-25,4.5K,14680.0
21-25,5.5K,16460.0
21-25,6.5K,17970.0
26-30,1.5K,6920.0
26-30,2.5K,9850.0
26-30,2K,8520.0
26-30,3.5K,12920.0
26-30,4.5K,15630.0
26-30,5.5K,17700.0
26-30,6.5K,19210.0
31-35,1.5K,7060.0
31-35,2.5K,10270.0
31-35,2K,8900.0
31-35,3.5K,13040.0
31-35,4.5K,15680.0
31-35,5.5K,17690.0
31-35,6.5K,19280.0
36-40,1.5K,7330.0
36-40,2.5K,10780.0
36-40,2K,9200.0
36-40,3.5K,13070.0
36-40,4.5K,15720.0
36-40,5.5K,17850.0
36-40,6.5K,19270.0
41-45,1.5K,7780.0
41-45,2.5K,11550.0
41-45,2K,9710.0
41-45,3.5K,13800.0
41-45,4.5K,16550.0
41-45,5.5K,18290.0
41-45,6.5K,19860.0
46-50,1.5K,8540.0
46-50,2.5K,12470.0
46-50,2K,10530.0
46-50,3.5K,15620.0
46-50,4.5K,18860.0
46-50,5.5K,21060.0
46-50,6.5K,22660.0
51-55,1.5K,10890.0
51-55,2.5K,16800.0
51-55,2K,13860.0
51-55,3.5K,21580.0
51-55,4.5K,26530.0
51-55,5.5K,29750.0
51-55,6.5K,32010.0
56-60,1.5K,15270.0
56-60,2.5K,21820.0
56-60,2K,18830.0
56-60,3.5K,31900.0
56-60,4.5K,38650.0
56-60,5.5K,44240.0
56-60,6.5K,48190.0
61-65,1.5K,22410.0
61-65,2.5K,29820.0
61-65,2K,26510.0
61-65,3.5K,44080.0
61-65,4.5K,50890.0
61-65,5.5K,61730.0
61-65,6.5K,67360.0
66-70,1.5K,31530.0
66-70,2.5K,42550.0
66-70,2K,37560.0
66-70,3.5K,62140.0
66-70,4.5K,77250.0
66-70,5.5K,88020.0
66-70,6.5K,96040.0
71-75,1.5K,47040.0
71-75,2.5K,62490.0
71-75,2K,55280.0
71-75,3.5K,85460.0
71-75,4.5K,106810.0
71-75,5.5K,121700.0
71-75,6.5K,132630.0
76-80,1.5K,67730.0
76-80,2.5K,89980.0
76-80,2K,79600.0
76-80,3.5K,123060.0
76-80,4.5K,153800.0
76-80,5.5K,175250.0
76-80,6.5K,190980.0
81-85,1.5K,94820.0
81-85,2.5K,125970.0
81-85,2K,111430.0
81-85,3.5K,172280.0
81-85,4.5K,215320.0
81-85,5.5K,245340.0
81-85,6.5K,267370.0
86-90,1.5K,104300.0
86-90,2.5K,138570.0
86-90,2K,122570.0
86-90,3.5K,189510.0
86-90,4.5K,236850.0
86-90,5.5K,269870.0
86-90,6.5K,294110.0
91-95,1.5K,114730.0
91-95,2.5K,152430.0
91-95,2K,134830.0
91-95,3.5K,208460.0
91-95,4.5K,260540.0
91-95,5.5K,296860.0
91-95,6.5K,323520.0
96-98,1.5K,126200.0
96-98,2.5K,167670.0
96-98,2K,148310.0
96-98,3.5K,229310.0
96-98,4.5K,286590.0
96-98,5.5K,326550.0
96-98,6.5K,355870.0
