year,Class,M,F
11-15,1.5K,9390.0,7690.0
11-15,2.5K,13280.0,11620.0
11-15,2K,10600.0,9810.0
11-15,3.5K,15900.0,15410.0
11-15,4.5K,17420.0,18380.0
11-15,5.5K,18730.0,20120.0
11-15,6.5K,17793.0,21600.0
16-20,1.5K,7280.0,7370.0
16-20,2.5K,9880.0,11170.0
16-20,2K,8630.0,9690.0
16-20,3.5K,12150.0,15190.0
16-20,4.5K,14750.0,18380.0
16-20,5.5K,16500.0,19950.0
16-20,6.5K,17930.0,21550.0
21-25,1.5K,6820.0,8510.0
21-25,2.5K,9770.0,12620.0
21-25,2K,8320.0,10550.0
21-25,3.5K,12050.0,16390.0
21-25,4.5K,14680.0,20120.0
21-25,5.5K,16460.0,22260.0
21-25,6.5K,17970.0,24050.0
26-30,1.5K,6920.0,9050.0
26-30,2.5K,9850.0,12030.0
26-30,2K,8520.0,11300.0
26-30,3.5K,12920.0,17040.0
26-30,4.5K,15630.0,20730.0
26-30,5.5K,17700.0,23740.0
26-30,6.5K,19210.0,19690.0
31-35,1.5K,7060.0,9170.0
31-35,2.5K,10270.0,13030.0
31-35,2K,8900.0,11330.0
31-35,3.5K,13040.0,17330.0
31-35,4.5K,15680.0,21030.0
31-35,5.5K,17690.0,23550.0
31-35,6.5K,19280.0,25080.0
36-40,1.5K,7330.0,9420.0
36-40,2.5K,10780.0,14070.0
36-40,2K,9200.0,11800.0
36-40,3.5K,13070.0,19700.0
36-40,4.5K,15720.0,21500.0
36-40,5.5K,17850.0,23820.0
36-40,6.5K,19270.0,25510.0
41-45,1.5K,7780.0,10050.0
41-45,2.5K,11550.0,15070.0
41-45,2K,9710.0,12610.0
41-45,3.5K,13800.0,19730.0
41-45,4.5K,16550.0,21250.0
41-45,5.5K,18290.0,25720.0
41-45,6.5K,19860.0,27580.0
46-50,1.5K,8540.0,11080.0
46-50,2.5K,12470.0,16380.0
46-50,2K,10530.0,13760.0
46-50,3.5K,15620.0,22380.0
46-50,4.5K,18860.0,27130.0
46-50,5.5K,21060.0,30190.0
46-50,6.5K,22660.0,32400.0
51-55,1.5K,10890.0,13790.0
51-55,2.5K,16800.0,20160.0
51-55,2K,13860.0,16730.0
51-55,3.5K,21580.0,26320.0
51-55,4.5K,26530.0,32920.0
51-55,5.5K,29750.0,36760.0
51-55,6.5K,32010.0,39370.0
56-60,1.5K,15270.0,17970.0
56-60,2.5K,21820.0,25290.0
56-60,2K,18830.0,21880.0
56-60,3.5K,31900.0,34000.0
56-60,4.5K,38650.0,42170.0
56-60,5.5K,44240.0,48060.0
56-60,6.5K,48190.0,51040.0
61-65,1.5K,22410.0,23990.0
61-65,2.5K,29820.0,34930.0
61-65,2K,26510.0,28810.0
61-65,3.5K,44080.0,46670.0
61-65,4.5K,50890.0,57150.0
61-65,5.5K,61730.0,65060.0
61-65,6.5K,67360.0,71340.0
66-70,1.5K,31530.0,33060.0
66-70,2.5K,42550.0,45860.0
66-70,2K,37560.0,39360.0
66-70,3.5K,62140.0,62780.0
66-70,4.5K,77250.0,77880.0
66-70,5.5K,88020.0,88060.0
66-70,6.5K,96040.0,96180.0
71-75,1.5K,47040.0,47540.0
71-75,2.5K,62490.0,64620.0
71-75,2K,55280.0,56580.0
71-75,3.5K,85460.0,86810.0
71-75,4.5K,106810.0,108830.0
71-75,5.5K,121700.0,123660.0
71-75,6.5K,132630.0,134860.0
76-80,1.5K,67730.0,68460.0
76-80,2.5K,89980.0,93050.0
76-80,2K,79600.0,81480.0
76-80,3.5K,123060.0,120510.0
76-80,4.5K,153800.0,156720.0
76-80,5.5K,175250.0,178070.0
76-80,6.5K,190980.0,194200.0
81-85,1.5K,94820.0,95840.0
81-85,2.5K,125970.0,130270.0
81-85,2K,111430.0,114060.0
81-85,3.5K,172280.0,175010.0
81-85,4.5K,215320.0,219400.0
81-85,5.5K,245340.0,249300.0
81-85,6.5K,267370.0,271880.0
86-90,1.5K,104300.0,106420.0
86-90,2.5K,138570.0,143300.0
86-90,2K,122570.0,126470.0
86-90,3.5K,189510.0,192510.0
86-90,4.5K,236850.0,241340.0
86-90,5.5K,269870.0,274230.0
86-90,6.5K,294110.0,299070.0
91-95,1.5K,114730.0,115960.0
91-95,2.5K,152430.0,157630.0
91-95,2K,134830.0,138080.0
91-95,3.5K,208460.0,211760.0
91-95,4.5K,260540.0,265470.0
91-95,5.5K,296860.0,301650.0
91-95,6.5K,323520.0,328980.0
96-98,1.5K,126200.0,127560.0
96-98,2.5K,167670.0,173390.0
96-98,2K,148310.0,151820.0
96-98,3.5K,229310.0,232940.0
96-98,4.5K,286590.0,292020.0
96-98,5.5K,326550.0,331820.0
96-98,6.5K,355870.0,361880.0
