year,Class,F
11-20,1.6K,5400.0
11-20,1K,4030.0
11-20,2.2K,6160.0
11-20,2.8K,6790.0
11-20,3.4K,8160.0
11-20,4K,9520.0
11-20,5K,11960.0
21-35,1.6K,6200.0
21-35,1K,4600.0
21-35,2.2K,7040.0
21-35,2.8K,7700.0
21-35,3.4K,9350.0
21-35,4K,10960.0
21-35,5K,13630.0
36-40,1.6K,7200.0
36-40,1K,5660.0
36-40,2.2K,8140.0
36-40,2.8K,9030.0
36-40,3.4K,10880.0
36-40,4K,12700.0
36-40,5K,15650.0
41-45,1.6K,7880.0
41-45,1K,5920.0
41-45,2.2K,8800.0
41-45,2.8K,9800.0
41-45,3.4K,11730.0
41-45,4K,13740.0
41-45,5K,16980.0
46-50,1.6K,8520.0
46-50,1K,6620.0
46-50,2.2K,9570.0
46-50,2.8K,10500.0
46-50,3.4K,12750.0
46-50,4K,14820.0
46-50,5K,18420.0
51-55,1.6K,10800.0
51-55,1K,8120.0
51-55,2.2K,12210.0
51-55,2.8K,13580.0
51-55,3.4K,16320.0
51-55,4K,18860.0
51-55,5K,23690.0
56-60,1.6K,14120.0
56-60,1K,10540.0
56-60,2.2K,15730.0
56-60,2.8K,17570.0
56-60,3.4K,21250.0
56-60,4K,25000.0
56-60,5K,30740.0
61-65,1.6K,18520.0
61-65,1K,13810.0
61-65,2.2K,20900.0
61-65,2.8K,23240.0
61-65,3.4K,27710.0
61-65,4K,32700.0
61-65,5K,40290.0
66-70,1.6K,27560.0
66-70,1K,20330.0
66-70,2.2K,31020.0
66-70,2.8K,34660.0
66-70,3.4K,41990.0
66-70,4K,48200.0
66-70,5K,60460.0
71-75,1.6K,43160.0
71-75,1K,31930.0
71-75,2.2K,48730.0
71-75,2.8K,54670.0
71-75,3.4K,65790.0
71-75,4K,75940.0
71-75,5K,95250.0
76-80,1.6K,68200.0
76-80,1K,50560.0
76-80,2.2K,77110.0
76-80,2.8K,86310.0
76-80,3.4K,103870.0
76-80,4K,120480.0
76-80,5K,151110.0
81-85,1.6K,95480.0
81-85,1K,70780.0
81-85,2.2K,107910.0
81-85,2.8K,120820.0
81-85,3.4K,145350.0
81-85,4K,168680.0
81-85,5K,211550.0
86-90,1.6K,105030.0
86-90,1K,77860.0
86-90,2.2K,118710.0
86-90,2.8K,132920.0
86-90,3.4K,159990.0
86-90,4K,185550.0
86-90,5K,232710.0
91-95,1.6K,115330.0
91-95,1K,85650.0
91-95,2.2K,130570.0
91-95,2.8K,146220.0
91-95,3.4K,175940.0
91-95,4K,204110.0
91-95,5K,255980.0
96-98,1.6K,127080.0
96-98,1K,94220.0
96-98,2.2K,143640.0
96-98,2.8K,160850.0
96-98,3.4K,193470.0
96-98,4K,224520.0
96-98,5K,281580.0
