year,Class,F,M
11-15,1M,3490.0,4550.0
11-15,2M,6980.0,9040.0
11-15,3M,1170.0,13560.0
11-15,4M,13920.0,18080.0
15-5,1M,5130.0,6310.0
15-5,2M,10260.0,12620.0
15-5,3M,15390.0,18930.0
15-5,4M,20520.0,25240.0
16-20,1M,4180.0,5050.0
16-20,2M,8360.0,10100.0
16-20,3M,12540.0,15150.0
16-20,4M,16720.0,20200.0
21-25,1M,4730.0,5560.0
21-25,2M,9460.0,11120.0
21-25,3M,14190.0,16680.0
21-25,4M,18920.0,22240.0
26-30,1M,6230.0,6610.0
26-30,2M,12460.0,13220.0
26-30,3M,18690.0,19830.0
26-30,4M,24920.0,26440.0
31-35,1M,7350.0,8750.0
31-35,2M,14700.0,17500.0
31-35,3M,22050.0,26250.0
31-35,4M,29400.0,35000.0
36-40,1M,10040.0,16870.0
36-40,2M,20080.0,33740.0
36-40,3M,30120.0,50610.0
36-40,4M,40160.0,67480.0
41-45,1M,16310.0,27700.0
41-45,2M,32620.0,55400.0
41-45,3M,48930.0,83100.0
41-45,4M,65240.0,110800.0
46-50,1M,29160.0,49730.0
46-50,2M,58320.0,99460.0
46-50,3M,87480.0,149190.0
46-50,4M,116640.0,198920.0
51-55,1M,45370.0,83620.0
51-55,2M,90740.0,167240.0
51-55,3M,136110.0,250860.0
51-55,4M,181480.0,334480.0
56-60,1M,69550.0,130070.0
56-60,2M,139100.0,260140.0
56-60,3M,208650.0,390210.0
56-60,4M,278200.0,520280.0
6-10,1M,3830.0,4610.0
6-10,2M,7660.0,9220.0
6-10,3M,11490.0,13830.0
6-10,4M,15320.0,18440.0
61-65,1M,102320.0,163890.0
61-65,2M,204640.0,327780.0
61-65,3M,306960.0,491670.0
61-65,4M,409280.0,655560.0
66-70,1M,157170.0,235830.0
66-70,2M,314340.0,471660.0
66-70,3M,471510.0,707490.0
66-70,4M,628680.0,943320.0
71-75,1M,232320.0,326640.0
71-75,2M,464640.0,653280.0
71-75,3M,696960.0,979920.0
71-75,4M,929280.0,1306560.0
76-79,1M,211650.0,295760.0
76-79,2M,423300.0,591520.0
76-79,3M,634950.0,887280.0
76-79,4M,846600.0,1183040.0
80,1M,480750.0,381570.0
80,2M,961500.0,763140.0
80,3M,1442250.0,1144710.0
80,4M,1923000.0,1526280.0
86-90,1M,571340.0,621280.0
86-90,2M,1142720.0,1242560.0
86-90,3M,1714080.0,1863840.0
86-90,4M,2285440.0,2485120.0
91-95,1M,855280.0,909630.0
91-95,2M,1710560.0,1819260.0
91-95,3M,2565840.0,2728890.0
91-95,4M,3421120.0,3638520.0
96-98,1M,1065970.0,1043290.0
96-98,2M,2131940.0,2086580.0
96-98,3M,3197910.0,3129870.0
96-98,4M,4263880.0,4173160.0
